@id,rdf:type{URIRef},rdfs:comment{Literal},rdfs:label{Literal}
survol:AccessMask,rdf:Property,This property has been deprecated in favour of the GetAccessMask method of this class due to the expense of calling GetEffectiveRightsFromAcl. The value will be set to NULL,AccessMask
survol:AccessedFileRate,rdf:Property,The number of documents accessed via file system per second.,AccessedFileRate
survol:AccessedFiles,rdf:Property,The number of documents accessed via file system.,AccessedFiles
survol:Accesses,rdf:Property,Number of times this SoftwareFeature has been used,Accesses
survol:Account,rdf:Property,"No WMI description for property Account:(-2147352567, 'Exception occurred.', (0, 'SWbemQualifierSet', 'Not found ', None, 0, -2147217406), None)",Account
survol:AccountExpires,rdf:Property,"The AccountExpires property specifies when the account will expire. This value is calculated from the number of seconds elapsed since 00:00:00, January 1, 1970, and is set in this format: yyyymmddhhmmss.mmmmmm sutc.
Example: 20521201000230.000000 000",AccountExpires
survol:AccountName,rdf:Property,The name of the account associated with the SID,AccountName
survol:AccountType,rdf:Property,"The AccountType property contains flags describing the characteristics of Win32 user account:
UF_TEMP_DUPLICATE_ACCOUNT - Local user account for users whose primary account is in another domain. This account provides user access to this domain, but not to any domain that trusts this domain.
UF_NORMAL_ACCOUNT - default account type that representing a typical user. 
UF_INTERDOMAIN_TRUST_ACCOUNT - account is for a system domain that trusts other domains.
UF_WORKSTATION_TRUST_ACCOUNT - This is a computer account for a Windows NT/Windows 2000 machine that is a member of this domain.
UF_SERVER_TRUST_ACCOUNT - account is for a system backup domain controller that is a member of this domain. 
",AccountType
survol:Accuracy,rdf:Property,"Indicates the accuracy of the sensor for the measured property. Its value is recorded as plus/minus hundredths of a percent. Accuracy, along with resolution and tolerance, is used to calculate the actual value of the measured physical property. Accuracy may vary depending on whether the device is linear over its dynamic range.",Accuracy
survol:AceFlags,rdf:Property,Bit flags specifying inheritance of the ACE,AceFlags
survol:AceType,rdf:Property,The type of ACE entry this is,AceType
survol:AckMessagesReceivedPersecond,rdf:Property,The number of DRT Ack messages received per second by the DRT instance.,AckMessagesReceivedPersecond
survol:AckMessagesSentPersecond,rdf:Property,The number of DRT Ack messages sent per second by the DRT instance.,AckMessagesSentPersecond
survol:Ackreceivedpersecond,rdf:Property,Number of Ack message received per second for this PNRP Cloud,Ackreceivedpersecond
survol:Acksentpersecond,rdf:Property,Number of Ack message sent per second for this PNRP Cloud,Acksentpersecond
survol:Action,rdf:Property,"The type of modification made.
 Hexadecimal 
 Decimal 
 Modification 

0x000 
 0 
 Creates or updates a .ini entry. 

0x001 
 1 
 Creates a .ini entry only if the entry does not already exist. 

0x003 
 3 
 Creates a new entry or appends a new comma-separated value to an existing entry.",Action
survol:ActionDelay,rdf:Property,"No WMI description for property ActionDelay:(-2147352567, 'Exception occurred.', (0, 'SWbemQualifierSet', 'Not found ', None, 0, -2147217406), None)",ActionDelay
survol:ActionID,rdf:Property,The ActionID property is a unique identifier assigned to a particular  action for a software element. ,ActionID
survol:ActionType,rdf:Property,"No WMI description for property ActionType:(-2147352567, 'Exception occurred.', (0, 'SWbemQualifierSet', 'Not found ', None, 0, -2147217406), None)",ActionType
survol:Activatedalerts,rdf:Property,The number of Alerts that have activated since the last SQL Server restart.,Activatedalerts
survol:ActivationErrorsTotal,rdf:Property,The number of times an activation stored procedure exited with an error.,ActivationErrorsTotal
survol:ActiveConnections,rdf:Property,Active Connections,ActiveConnections
survol:ActiveCooling,rdf:Property,ActiveCooling is a boolean indicating that the cooling device provides active (as opposed to passive) cooling.,ActiveCooling
survol:ActiveExtendedModeSAs,rdf:Property,Active Extended Mode SAs is the number of currently active extended mode security associations.,ActiveExtendedModeSAs
survol:ActiveHadrThreads,rdf:Property,Number of active Hadr threads used by AG,ActiveHadrThreads
survol:ActiveInboundConnections,rdf:Property,Active Inbound Connections is the number of current inbound connections allowed by the Windows Filtering Platform.,ActiveInboundConnections
survol:ActiveInputVoltage,rdf:Property,"ActiveInputVoltage indicates which input voltage range is currently in use. Range 1, 2 or both can be specified using the values 3, 4 or 5, respectively. If the Supply is not currently drawing power, the value 6 (""Neither"") can be specified. This information is necessary in the case of a UPS, a subclass of PowerSupply.",ActiveInputVoltage
survol:ActiveLines,rdf:Property,The number of telephone lines serviced by this computer that are currently active.,ActiveLines
survol:ActiveMainModeSAs,rdf:Property,Active Main Mode SAs is the number of currently active main mode security associations.,ActiveMainModeSAs
survol:ActiveOperations,rdf:Property,Displays the current number of active operations for all users.,ActiveOperations
survol:ActiveOutboundConnections,rdf:Property,Active Outbound Connections is the number of current outbound connections allowed by the Windows Filtering Platform.,ActiveOutboundConnections
survol:ActiveProcessLimit,rdf:Property,"Specifies the active process limit for the job. If you try to associate a process with a job, and this causes the active process count to exceed this limit, the process is terminated and the association fails. Ignored unless LimitFlags specifies Active Process Limit.",ActiveProcessLimit
survol:ActiveProcesses,rdf:Property,"Specifies the total number of processes currently associated with the job. When a process is associated with a job, but the association fails because of a limit violation, this value is temporarily incremented. When the terminated process exits and all references to the process are released, this value is decremented. ",ActiveProcesses
survol:ActiveQueueLength,rdf:Property,"The number of documents waiting for robot threads. If this number is not 0, all threads should be filtering.",ActiveQueueLength
survol:ActiveQuickModeSAs,rdf:Property,Active Quick Mode SAs is the number of currently active quick mode security associations.,ActiveQuickModeSAs
survol:ActiveSchannelSessionCacheEntries,rdf:Property,"This counter tracks the number of Secure Sockets Layer (SSL) entries that are currently stored in the secure channel (Schannel) session cache and that are currently in use.  The Schannel session cache stores information about successfully established sessions, such as SSL session IDs.  Clients can use this information to reconnect to a server without performaing a full SSL handshake.",ActiveSchannelSessionCacheEntries
survol:ActiveSecurityAssociations,rdf:Property,Active Security Associations is the number of active quick mode security associations.,ActiveSecurityAssociations
survol:ActiveSessions,rdf:Property,Number of active Terminal Services sessions,ActiveSessions
survol:ActiveShells,rdf:Property,Displays the current number of active shells for all users.,ActiveShells
survol:ActiveTelephones,rdf:Property,The number of telephone devices that are currently being monitored.,ActiveTelephones
survol:ActiveTempTables,rdf:Property,Number of temporary tables/table variables in use,ActiveTempTables
survol:ActiveThreads,rdf:Property,"Active Threads is the number of threads currently working on a request from the server client for this CPU.  The system keeps this number as low as possible to minimize unnecessary context switching.  This is an instantaneous count for the CPU, not an average over time.",ActiveThreads
survol:ActiveTime,rdf:Property,The ActiveTime property indicates the number of seconds since this session was established.,ActiveTime
survol:ActiveTransactions,rdf:Property,Number of active update transactions for the database.,ActiveTransactions
survol:ActiveTransactionsMaximum,rdf:Property,Maximum number of transactions ever concurrently active,ActiveTransactionsMaximum
survol:ActiveUsers,rdf:Property,"Displays the current number of active, authorized users.",ActiveUsers
survol:Activecursors,rdf:Property,Number of active cursors.,Activecursors
survol:Activejobs,rdf:Property,Number of running jobs.,Activejobs
survol:Activelogcatchupscans,rdf:Property,Number of currently active partition catchup log scans,Activelogcatchupscans
survol:ActivememorygrantamountKB,rdf:Property,Total amount of granted memory in kilobytes in the resource pool.,ActivememorygrantamountKB
survol:Activememorygrantscount,rdf:Property,Number of query memory grants in the resource pool.,Activememorygrantscount
survol:Activeparallelredothreads,rdf:Property,Count of active parallel redo threads,Activeparallelredothreads
survol:Activeparallelthreads,rdf:Property,Number of threads used by parallel queries in the workload group. Serial queries and the main thread of parallel queries are not included in this number.,Activeparallelthreads
survol:Activepartitioncopyscans,rdf:Property,Number of currently active partition copy scans,Activepartitioncopyscans
survol:Activepartitiondeletescans,rdf:Property,Number of currently active partition delete scans,Activepartitiondeletescans
survol:Activerequests,rdf:Property,Number of currently running requests in the workload group.,Activerequests
survol:Activesteps,rdf:Property,Number of active steps.,Activesteps
survol:Activesubscriptions,rdf:Property,Active subscriptions,Activesubscriptions
survol:Activesystemjobs,rdf:Property,Number of running system jobs.,Activesystemjobs
survol:ActivityHostManagerNumberofbusyhostprocesses,rdf:Property,Displays the number of activity host processes which are busy servicing the requests (incoming / failed). This counter displays the last observed value.,ActivityHostManagerNumberofbusyhostprocesses
survol:ActivityHostManagerNumberofcreatedhostprocesses,rdf:Property,Displays the number of activity host processes that have been created since the start of PowerShell Workflow engine. This counter displays the last observed value.,ActivityHostManagerNumberofcreatedhostprocesses
survol:ActivityHostManagerNumberofdisposedhostprocesses,rdf:Property,Displays the number of activity host processes that have been disposed since the start of PowerShell Workflow engine. This counter displays the last observed value.,ActivityHostManagerNumberofdisposedhostprocesses
survol:ActivityHostManagerNumberoffailedrequestsPersec,rdf:Property,Displays the number of requests that were re-i nserted into the Activity Host Manager queue's because of failure due to process crash. This counter is not an average over time; it displays the difference between the values observed in the last two samples divided by the duration of the sample interval.,ActivityHostManagerNumberoffailedrequestsPersec
survol:ActivityHostManagerNumberoffailedrequestsinqueue,rdf:Property,Displays the number of failed requests (because of activity host process crash) that are pending execution and waiting in the Activity Host Manager's queue. This counter displays the last observed value.,ActivityHostManagerNumberoffailedrequestsinqueue
survol:ActivityHostManagerNumberofincomingrequestsPersec,rdf:Property,Displays the number of requests that are arrived in the Activity Host Manager queue. This counter is not an average over time; it displays the difference between the values observed in the last two samples divided by the duration of the sample interval.,ActivityHostManagerNumberofincomingrequestsPersec
survol:ActivityHostManagerNumberofpendingrequestsinqueue,rdf:Property,Displays the number of requests that are pending execution and waiting in the Activity Host Manager's queue. This counter displays the last observed value.,ActivityHostManagerNumberofpendingrequestsinqueue
survol:ActivityHostManagerhostprocessespoolsize,rdf:Property,Displays the size of the activity host processes pool. This counter displays the last observed value.,ActivityHostManagerhostprocessespoolsize
survol:ActualColorResolution,rdf:Property,"The ActualColorResolution property indicates the current color depth of the video display.  
This property has been deprecated in favor of a corresponding property(s) contained in the Win32_VideoController, Win32_DesktopMonitor and//or CIM_VideoControllerResolution",ActualColorResolution
survol:ActualPID,rdf:Property,"No WMI description for property ActualPID:(-2147352567, 'Exception occurred.', (0, 'SWbemQualifierSet', 'Not found ', None, 0, -2147217406), None)",ActualPID
survol:AdapterChipType,rdf:Property,"The AdapterChipType property contains the name of the adapter chip.
Example: s3  
This property has been deprecated in favor of a corresponding property(s) contained in the Win32_VideoController, Win32_DesktopMonitor and//or CIM_VideoControllerResolution",AdapterChipType
survol:AdapterCompatibility,rdf:Property,"The AdapterCompatibility property specifies the name of the manufacturer of the adapter.  This name can be used to compare the compatibility of this device with the needs of the computer system.  
This property has been deprecated in favor of a corresponding property(s) contained in the Win32_VideoController, Win32_DesktopMonitor and//or CIM_VideoControllerResolution",AdapterCompatibility
survol:AdapterDACType,rdf:Property,"The AdapterDACType property indicates the name of the digital-to-analog chip (DAC) used in the adapter.  
This property has been deprecated in favor of a corresponding property(s) contained in the Win32_VideoController, Win32_DesktopMonitor and//or CIM_VideoControllerResolution",AdapterDACType
survol:AdapterDescription,rdf:Property,"The AdapterDescription property contains a description or descriptive name of the video adapter.  
This property has been deprecated in favor of a corresponding property(s) contained in the Win32_VideoController, Win32_DesktopMonitor and//or CIM_VideoControllerResolution",AdapterDescription
survol:AdapterRAM,rdf:Property,"The AdapterRAM property indicates the memory size of the video adapter.
Example: 16777216  
This property has been deprecated in favor of a corresponding property(s) contained in the Win32_VideoController, Win32_DesktopMonitor and//or CIM_VideoControllerResolution",AdapterRAM
survol:AdapterType,rdf:Property,"The AdapterType property indicates the type of video adapter.
Character Set: Alphanumeric  
This property has been deprecated in favor of a corresponding property(s) contained in the Win32_VideoController, Win32_DesktopMonitor and//or CIM_VideoControllerResolution",AdapterType
survol:AdapterTypeId,rdf:Property,"The AdapterTypeId property reflects the network medium in use. This property gives the same information as the AdapterType property, except that the the information is returned in the form of an integer value that corresponds to the following: 
0 - Ethernet 802.3
1 - Token Ring 802.5
2 - Fiber Distributed Data Interface (FDDI)
3 - Wide Area Network (WAN)
4 - LocalTalk
5 - Ethernet using DIX header format
6 - ARCNET
7 - ARCNET (878.2)
8 - ATM
9 - Wireless
10 - Infrared Wireless
11 - Bpc
12 - CoWan
13 - 1394
This property may not be applicable to all types of network adapters listed within this class. Windows NT only.",AdapterTypeId
survol:AdaptiveCrawlErrors,rdf:Property,Documents incorrectly rejected by adaptive crawl,AdaptiveCrawlErrors
survol:AddAdminGroupToRUPEnabled,rdf:Property,"If true, add the Administrator group to roaming user profiles.",AddAdminGroupToRUPEnabled
survol:AddNetworkPrinterCalls,rdf:Property,Total number of calls from other print servers to add shared network printers to this server since last restart.,AddNetworkPrinterCalls
survol:AdditionalDescription,rdf:Property,The AdditionalDescription property contains additional information relating to the error.,AdditionalDescription
survol:AdditionalErrorData,rdf:Property,"An array of octets holding additional error information. An example is ECC Syndrome or the return of the check bits if a CRC-based error methodology is used. In the latter case, if a single bit error is recognized and the CRC algorithm is known, it is possible to determine the exact bit that failed.  This type of data (ECC Syndrome, Check Bit or Parity Bit data, or other vendor supplied information) is included in this field. If the ErrorInfo property is equal to 3, ""OK"", then the AdditionalErrorData property has no meaning.",AdditionalErrorData
survol:AdditionalInfo,rdf:Property,Optional text used by Microsoft to provide additional metadata.,AdditionalInfo
survol:Address,rdf:Property,The Address property holds the value of the address requested.  This can be either hostname ('wxyz1234') or IP address ('193.128.177.124').,Address
survol:AddressDomainFlushesPersec,rdf:Property,The rate of explicit flushes of the virtual TLB by guest code on the virtual processor.,AddressDomainFlushesPersec
survol:AddressSize,rdf:Property,"An integer indicating the DMA channel address size in bits. Permissible values are 8, 16, 32 or 64 bits. If unknown, enter 0.",AddressSize
survol:AddressSpaceEvictionsPersec,rdf:Property,The rate of address space evictions in the virtual TLB.,AddressSpaceEvictionsPersec
survol:AddressSpaceFlushesPersec,rdf:Property,The rate of explicit flushes of one address space by guest code on the virtual processor.,AddressSpaceFlushesPersec
survol:AddressSpaceSwitchesPersec,rdf:Property,The rate of address space switches by guest code on the virtual processor.,AddressSpaceSwitchesPersec
survol:AddressSpaces,rdf:Property,The number of address spaces in the virtual TLB of the partition.,AddressSpaces
survol:AddressWidth,rdf:Property,Processor address width in bits.,AddressWidth
survol:AdminClients,rdf:Property,The number of currently connected administrative clients.,AdminClients
survol:AdminPasswordStatus,rdf:Property,The AdminPasswordStatus property identifies the system-wide hardware security settings for Administrator Password Status.,AdminPasswordStatus
survol:AdvertiseMessagesReceivedPersecond,rdf:Property,The number of DRT Advertise messages received per second by the DRT instance.,AdvertiseMessagesReceivedPersecond
survol:AdvertiseMessagesSentPersecond,rdf:Property,The number of DRT Advertise messages sent per second by the DRT instance.,AdvertiseMessagesSentPersecond
survol:Advertisereceivedpersecond,rdf:Property,Number of Advertise message per second received for this PNRP Cloud,Advertisereceivedpersecond
survol:Advertisesentpersecond,rdf:Property,Number of Advertise message sent per second for this PNRP Cloud,Advertisesentpersecond
survol:Affinity,rdf:Property,"Specifies the processor affinity for all processes associated with the job. The affinity of each thread is set to this value, but threads are free to subsequently set their affinity, as long as it is a subset of the specified affinity mask. Processes cannot set their own affinity mask. Ignored unless LimitFlags specifies Limit Affinity.",Affinity
survol:Age,rdf:Property,The Age property contains the number of seconds since this route was last updated or otherwise determined to be correct. No semantics of 'too old' can be implied except through knowledge of the routing protocol by which the route was learned.,Age
survol:AlertsactivatedPerminute,rdf:Property,The number of Alerts that have activated within the last minute.,AlertsactivatedPerminute
survol:Alias,rdf:Property,"The Alias property indicates whether this instance represents the base port address or one of the ranges with an alias. A base port address is a predetermined port address dedicated to a specific service or device. A port alias address is one that a device responds to as if it were the actual address of an I/O port. 
Values: TRUE or FALSE. A value of TRUE indicates this instance represents an address alias.",Alias
survol:AlignmentErrors,rdf:Property,The total number of Alignment Errors for this connection.  Alignment Errors occur when a byte received is different from the byte expected.,AlignmentErrors
survol:AlignmentFixupsPersec,rdf:Property,"Alignment Fixups/sec is the rate, in incidents per seconds, at alignment faults were fixed by the system.",AlignmentFixupsPersec
survol:AllNotificationsReceived,rdf:Property,The total number of notifications received from all notification sources including file system.,AllNotificationsReceived
survol:AllRequests,rdf:Property,Total number of HTTP requests made for this site,AllRequests
survol:AllocatedBaseSize,rdf:Property,"The AllocatedBaseSize property indicates the actual amount of disk space allocated for use with this page file. This value corresponds to the range established in Win32_PageFileSetting under the InitialSize and MaximumSize properties, set at system startup.
Example: 178MB",AllocatedBaseSize
survol:AllocatedBytesPersec,rdf:Property,This counter displays the rate of bytes per second allocated on the GC Heap. This counter is updated at the end of every GC; not at each allocation. This counter is not an average over time; it displays the difference between the values observed in the last two samples divided by the duration of the sample interval.,AllocatedBytesPersec
survol:AllocationCount,rdf:Property,Number of times CommonBuffer allocations were done,AllocationCount
survol:AllocationofDataClustersonFastTierPersec,rdf:Property,The number of data cluster allocations from the fast tier per second.,AllocationofDataClustersonFastTierPersec
survol:AllocationofDataClustersonSlowTierPersec,rdf:Property,The number of data cluster allocations from the slow tier per second.,AllocationofDataClustersonSlowTierPersec
survol:AllocationofMetadataClustersonFastTierPersec,rdf:Property,The number of metadata cluster allocations from the fast tier per second.,AllocationofMetadataClustersonFastTierPersec
survol:AllocationofMetadataClustersonSlowTierPersec,rdf:Property,The number of metadata cluster allocations from the slow tier per second.,AllocationofMetadataClustersonSlowTierPersec
survol:AllowCrossForestUserPolicy,rdf:Property,"If true, allow cross-forest user policy and roaming user profiles. If false, a roaming profile user receives a local profile when logged on to a cross-forest domain.",AllowCrossForestUserPolicy
survol:AllowDownVersion,rdf:Property, The AllowDownVersion property indicates that this software element  can transition to its next state even if a higher or latter version  of the software element already exists in the  environment.,AllowDownVersion
survol:AllowMaximum,rdf:Property,"The AllowMaximum property indicates whether the number of concurrent users for this resource has been limited.
Values: TRUE or FALSE. A value of TRUE indicates the number of concurrent users of this resource has not been limited and the value in the MaximumAllowed property is ignored.",AllowMaximum
survol:AllowMultipleVersions,rdf:Property, The AllowMultipleVersions option controls the ability to configure  multiple versions of a product on a system.,AllowMultipleVersions
survol:AllowedClassifiesPersec,rdf:Property,Allowed Classifies per Second is the rate of Windows Filtering Platform security rule evaluations which allow network activity.,AllowedClassifiesPersec
survol:AnnouncementsDomainPersec,rdf:Property,Announcements Domain/sec is the rate at which a domain has announced itself to the network.,AnnouncementsDomainPersec
survol:AnnouncementsServerPersec,rdf:Property,Announcements Server/sec is the rate at which the servers in this domain have announced themselves to this server.,AnnouncementsServerPersec
survol:AnnouncementsTotalPersec,rdf:Property,Announcements Total/sec is the sum of Announcements Server/sec and Announcements Domain/sec.,AnnouncementsTotalPersec
survol:AnonymousRequests,rdf:Property,Number of requests utilizing anonymous authentication.,AnonymousRequests
survol:AnonymousRequestsPerSec,rdf:Property,Number of Authentication Anonymous Requests/Sec,AnonymousRequestsPerSec
survol:AnswerMode,rdf:Property,Answer mode defines the current auto-answer/call-back setting for the modem.,AnswerMode
survol:Antecedent,rdf:Property,No description for property:Antecedent,Antecedent
survol:AppData,rdf:Property,A localizable text describing the qualified component of this instance. The string is commonly parsed by the application and can be displayed to the user.,AppData
survol:AppID,rdf:Property,The AppID property contains a Globally Unique Identifier (GUID) for the COM application using this COM component.,AppID
survol:Application,rdf:Property,No description for property:Application,Application
survol:ApplicationID,rdf:Property,ID of current product's Application,ApplicationID
survol:ApplicationLifetimeEvents,rdf:Property,Number of application events raised since the application was started.,ApplicationLifetimeEvents
survol:ApplicationLifetimeEventsPerSec,rdf:Property,Number of application events raised per second.,ApplicationLifetimeEventsPerSec
survol:ApplicationRestarts,rdf:Property,Number of times the application has been restarted during the web server's lifetime.,ApplicationRestarts
survol:ApplicationsRunning,rdf:Property,Number of currently running web applications.,ApplicationsRunning
survol:Architecture,rdf:Property,Ρřöġŗàm äŕçћіţέĉţüґэ,Architecture
survol:Archive,rdf:Property,"No WMI description for property Archive:(-2147352567, 'Exception occurred.', (0, 'SWbemQualifierSet', 'Not found ', None, 0, -2147217406), None)",Archive
survol:Argument,rdf:Property,Value for the command arguments.,Argument
survol:Arguments,rdf:Property,The command-line arguments for the shortcut.,Arguments
survol:ArpAlwaysSourceRoute,rdf:Property,"The ArpAlwaysSourceRoute property indicates whether the Address Resolution Protocol (ARP) must always use source routing. If this property is TRUE, TCP/IP will transmit ARP queries with source routing enabled on Token Ring networks. By default, ARP first queries without source routing, and retries with source routing enabled if no reply was received. Source routing allows the routing of network packets across different types of networks. Default: FALSE.",ArpAlwaysSourceRoute
survol:ArpUseEtherSNAP,rdf:Property,"The ArpUseEtherSNAP property indicates whether Ethernet packets follow the IEEE 802.3 Sub-Network Access Protocol (SNAP) encoding. Setting this parameter to 1 will force TCP/IP to transmit Ethernet packets using 802.3 SNAP encoding. By default, the stack transmits packets in DIX Ethernet format. Windows NT/Windows 2000 systems are able to receive both formats. Default: FALSE.",ArpUseEtherSNAP
survol:ArrivalRate,rdf:Property,Rate at which requests are arriving in the queue,ArrivalRate
survol:ArtExtractionTimems,rdf:Property,Art Extraction Time (ms),ArtExtractionTimems
survol:AssemblySearchLength,rdf:Property,Reserved for future use.,AssemblySearchLength
survol:AssetTag,rdf:Property,String number for the asset tag of this processor,AssetTag
survol:AssignmentType,rdf:Property,Assignment type of the product.,AssignmentType
survol:Associativity,rdf:Property,"An integer enumeration defining the system cache associativity. For example, 6 indicates a fully associative cache.",Associativity
survol:AsyncCopyReadsPersec,rdf:Property,Async Copy Reads/sec is the frequency of reads from pages of the file system cache that involve a memory copy of the data from the cache to the application's buffer.  The application will regain control immediately even if the disk must be accessed to retrieve the page.,AsyncCopyReadsPersec
survol:AsyncDataMapsPersec,rdf:Property,"Async Data Maps/sec is the frequency that an application using a file system, such as NTFS, to map a page of a file into the file system cache to read the page, and does not wait for the page to be retrieved if it is not in main memory.",AsyncDataMapsPersec
survol:AsyncFastReadsPersec,rdf:Property,"Async Fast Reads/sec is the frequency of reads from the file system cache that bypass the installed file system and retrieve the data directly from the cache.  Normally, file I/O requests will invoke the appropriate file system to retrieve data from a file, but this path permits data to be retrieved from the cache directly (without file system involvement) if the data is in the cache.  Even if the data is not in the cache, one invocation of the file system is avoided.  If the data is not in the cache, the request (application program call) will not wait until the data has been retrieved from disk, but will get control immediately.",AsyncFastReadsPersec
survol:AsyncMDLReadsPersec,rdf:Property,"Async MDL Reads/sec is the frequency of reads from the file system cache that use a Memory Descriptor List (MDL) to access the pages.  The MDL contains the physical address of each page in the transfer, thus permitting Direct Memory Access (DMA) of the pages.  If the accessed page(s) are not in main memory, the calling application program will not wait for the pages to fault in from disk.",AsyncMDLReadsPersec
survol:AsyncPinReadsPersec,rdf:Property,"Async Pin Reads/sec is the frequency of reading data into the file system cache preparatory to writing the data back to disk.  Pages read in this fashion are pinned in memory at the completion of the read.  The file system will regain control immediately even if the disk must be accessed to retrieve the page.  While pinned, a page's physical address will not be altered.",AsyncPinReadsPersec
survol:Asyncpopulationcount,rdf:Property,Number of cursors being populated asynchronously.,Asyncpopulationcount
survol:AttachedDevices,rdf:Property,The number of devices attached to the partition.,AttachedDevices
survol:AttachedTo,rdf:Property,"The AttachedTo property indicates the port to which the POTS modem is attached.
Example: COM1.",AttachedTo
survol:Attribute,rdf:Property,The name of the data source attribute.,Attribute
survol:AttributeCaching,rdf:Property,If set to true: control attribute caching is enabled. If set to false: control attribute caching is disabled.,AttributeCaching
survol:AttributeCachingForDirectoriesMax,rdf:Property,Maximum number of seconds that cached attributes are held after directory update.,AttributeCachingForDirectoriesMax
survol:AttributeCachingForDirectoriesMin,rdf:Property,Minimum number of seconds that cached attributes are held after directory update.,AttributeCachingForDirectoriesMin
survol:AttributeCachingForRegularFilesMax,rdf:Property,Maximum number of seconds that cached attributes are held after file modification.,AttributeCachingForRegularFilesMax
survol:AttributeCachingForRegularFilesMin,rdf:Property,Minimum number of seconds that cached attributes are held after file modification.,AttributeCachingForRegularFilesMin
survol:Attributes,rdf:Property,Specifies attributes of the SID. This value contains up to 32 one-bit flags. Its meaning depends on the definition and use of the SID.,Attributes
survol:AudibleAlarm,rdf:Property,Boolean indicating that the alarm is audible. ,AudibleAlarm
survol:AuditFailureEventsRaised,rdf:Property,Number of audit failures in the application since it was started.,AuditFailureEventsRaised
survol:AuditSuccessEventsRaised,rdf:Property,Number of audit successes in the application since it was started.,AuditSuccessEventsRaised
survol:AuthIPMainModeNegotiationTime,rdf:Property,AuthIP Main Mode Negotiation Time is the number of milliseconds taken for the last Authenticated IP main mode security association negotiated.,AuthIPMainModeNegotiationTime
